brand_id,month,trxn_sum,trxn_count,clients_count
mim5r0,2023-10-01,3050500617.96354,6818034,2418145
mim5r0,2023-11-01,10782900656.24665,23058459,3723509
mim5r0,2023-12-01,12549283619.49893,24084327,3899866
mim5r0,2024-01-01,11114056609.4064,22466069,3869203
mim5r0,2024-02-01,11595811426.10224,23629149,3964515
mim5r0,2024-03-01,13246510450.26508,27803015,4286462
mim5r0,2024-04-01,13739561349.76305,30526675,4584238
mim5r0,2024-05-01,15115081349.96362,33608585,4842782
mim5r0,2024-06-01,15429566115.51501,34427472,4971713
mim5r0,2024-07-01,15962311275.18659,35553372,5009952
mim5r0,2024-08-01,15568643309.77023,34465086,4971513
mim5r0,2024-09-01,14934647665.48326,34461110,4871371
mim5r0,2024-10-01,10659124289.28536,23415894,4304165
dtxjY4b,2023-10-01,873477578.22861,1377685,681588
dtxjY4b,2023-11-01,3107025770.25255,4699420,1337205
dtxjY4b,2023-12-01,4190857304.77919,5238730,1476794
dtxjY4b,2024-01-01,3423122739.98479,4723920,1402982
dtxjY4b,2024-02-01,3480819973.61324,4911679,1424533
dtxjY4b,2024-03-01,3931886881.47082,5700533,1570347
dtxjY4b,2024-04-01,3747913876.62739,5797256,1606946
dtxjY4b,2024-05-01,3985320572.43281,6245613,1707607
dtxjY4b,2024-06-01,3962228946.16688,6288564,1772767
dtxjY4b,2024-07-01,3914714200.42635,6322234,1771154
dtxjY4b,2024-08-01,3893684884.64019,6085715,1737532
dtxjY4b,2024-09-01,3935458513.93652,6208319,1699140
dtxjY4b,2024-10-01,2800567535.70277,4251585,1372518
ptfg2J7c,2023-10-01,40666492.5,61339,47786
ptfg2J7c,2023-11-01,135219932.17,204202,127346
ptfg2J7c,2023-12-01,163679325.31,213795,133323
ptfg2J7c,2024-01-01,144515930.6,209319,131339
ptfg2J7c,2024-02-01,142830628.86,210647,132547
ptfg2J7c,2024-03-01,153627564.52,236070,144134
ptfg2J7c,2024-04-01,157884383.72,242984,147108
ptfg2J7c,2024-05-01,162843914.83,256425,151869
ptfg2J7c,2024-06-01,170537199.15,258511,154654
ptfg2J7c,2024-07-01,179852748.4,265603,159459
ptfg2J7c,2024-08-01,183536333.1,277542,162398
ptfg2J7c,2024-09-01,184011865.24,278585,161364
ptfg2J7c,2024-10-01,128397479.22,206090,125417
diyPqb,2023-10-01,673991632.42,332016,163439
diyPqb,2023-11-01,2214194857.56,1094652,391029
diyPqb,2023-12-01,1990829681.63,1037680,373278
diyPqb,2024-01-01,2130349274.25,1030229,389243
diyPqb,2024-02-01,2305669394.81,1047007,370080
diyPqb,2024-03-01,2951674172.58,1175461,417658
diyPqb,2024-04-01,3628690194.82,1300841,474230
diyPqb,2024-05-01,3999309968.74,1395628,519640
diyPqb,2024-06-01,3921641575.97,1478083,563876
